銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"ムゲンエステート","3299","東証","-","○","-","0","06/25","有","0.00","583","-5","-0.68 %","-","753","532,800","-2.18 %","貸借","0.05"
"ＡＭＢＩＴＩＯＮ","3300","東証","○","-","-","800","-","無","1.60","1,298","-58","-2.77 %","-","900","240,200","-11.58 %","信用","0.00"
"帝国繊維","3302","東証","-","-","○","11,900","12/25","有","0.00","2,156","-32","-1.14 %","-","115","19,700","-2.88 %","貸借","0.00"
"日本製麻","3306","東証","○","-","-","200","03/26","有","0.30","324","10","-1.21 %","-","18","6,300","-1.21 %","信用","0.00"
"日本ヘルスケア投資法","3308","東証","○","-","-","7","10/28","有","238.00","175,300","300","-0.22 %","-","170","288","-0.67 %","信用","0.00"
"積水ハウス・リート投資","3309","東証","○","-","-","248","-","無","0.00","81,000","700","0.37 %","-","1,564","24,763","-0.49 %","貸借","0.00"
"日本コークス工業","3315","東証","○","-","-","6,400","-","無","0.10","91","-1","0.00 %","-","39","162,300","-2.15 %","信用","0.00"
"東京日産コンピュータＳ","3316","東証","○","-","-","600","-","無","1.20","512","-13","-2.66 %","-","30","26,900","-3.03 %","信用","0.00"
"フライングガーデン","3317","東証","○","-","-","800","03/26","有","1.00","1,563","0","-0.44 %","-","4","400","-1.07 %","信用","0.00"
"ゴルフダイジェスト・オン","3319","東証","-","○","-","0","12/25","有","0.00","648","2","-0.15 %","-","133","73,800","-2.11 %","信用","0.00"
"クロスプラス","3320","東証","○","-","-","100","07/26","有","4.50","627","-3","-0.31 %","-","25","5,700","-1.41 %","貸借","0.00"
"ミタチ産業","3321","東証","○","-","-","100","-","無","0.00","713","8","1.13 %","-","54","11,000","-0.27 %","貸借","0.00"
"レカム","3323","東証","○","-","-","15,100","-","無","1.20","129","-1","-2.27 %","-","273","754,800","-6.52 %","信用","0.00"
"ランシステム","3326","東証","○","-","-","0","06/25","有","2.00","918","8","1.32 %","-","64","14,100","0.00 %","信用","0.00"
"ＢＥＥＮＯＳ","3328","東証","○","-","-","6,300","09/25","有","1.80","1,689","-11","-1.28 %","-","830","176,400","-8.05 %","信用","0.00"
"東和フードサービス","3329","東証","○","-","-","100","10/28","有","0.00","1,534","6","0.06 %","-","12","2,400","-0.64 %","貸借","0.00"
"あさひ","3333","東証","○","-","-","3,200","02/17","有","0.30","1,223","-16","-0.16 %","-","786","224,400","-2.93 %","信用","0.00"
"日本調剤","3341","東証","○","-","-","300","-","無","2.20","3,450","-80","-0.43 %","-","55","11,300","-3.49 %","信用","0.00"
"ワンダーコーポレーション","3344","東証","○","-","-","100","08/27","有","0.90","700","0","0.43 %","-","13","2,200","-2.23 %","信用","0.00"
"トラスト","3347","東証","○","-","-","400","09/25","有","0.00","202","1","-0.49 %","-","15","5,900","-2.41 %","貸借","0.00"
"コスモス薬品","3349","東証","-","-","○","900","11/26","有","0.00","17,860","-130","-0.11 %","-","333","53,600","-2.19 %","貸借","0.00"
"レッド・プラネット・ジャハ","3350","東証","○","-","-","500","-","無","0.00","126","-3","-2.32 %","-","102","92,800","-4.54 %","貸借","0.00"
"バッファロー","3352","東証","○","-","-","1,600","-","無","1.90","1,295","99","8.82 %","-","438","73,200","-6.96 %","信用","0.00"
"クリヤマホールディングス","3355","東証","○","-","-","300","12/25","有","2.60","834","-14","-2.22 %","-","78","15,800","-2.22 %","信用","0.00"
"テリロジー","3356","東証","○","-","-","2,900","-","無","0.80","894","-6","-0.55 %","-","267","133,400","-2.18 %","信用","0.00"
"ワイエスフード","3358","東証","○","-","-","0","-","無","1.30","293","-21","1.03 %","-","1,820","891,300","-22.48 %","信用","0.00"
"タイセイ","3359","東証","○","-","-","100","09/25","有","0.00","303","-6","-2.25 %","-","39","10,500","-5.31 %","貸借","0.00"
"シップヘルスケアＨＤ","3360","東証","-","-","○","28,200","-","無","0.00","4,715","-5","-0.73 %","-","574","156,800","-1.66 %","貸借","0.00"
"トーエル","3361","東証","○","-","-","100","10/28","有","0.80","737","5","0.27 %","-","10","1,500","-1.33 %","信用","0.00"
"フジタコーポレーション","3370","東証","○","-","-","1,100","-","無","3.40","900","-6","-1.20 %","-","132","28,600","-10.35 %","信用","0.00"
"ソフトクリエイトＨＤ","3371","東証","○","-","-","100","09/25","有","0.00","1,520","-36","-2.31 %","-","49","7,300","-5.17 %","貸借","0.05"
"関門海","3372","東証","○","-","-","200","09/25","有","0.00","394","3","1.02 %","-","30","12,000","-1.00 %","貸借","0.00"
"内外テック","3374","東証","○","-","-","100","-","無","2.70","1,006","7","-3.63 %","-","23","5,000","-3.63 %","信用","0.00"
"オンリー","3376","東証","○","-","-","200","08/27","有","0.30","811","1","-0.24 %","-","32","7,700","-0.49 %","信用","0.00"
"バイク王＆カンパニー","3377","東証","○","-","-","200","11/26","有","0.00","183","-1","-0.54 %","-","9","12,300","-0.54 %","貸借","0.00"
"セブン＆アイ・ＨＬＤＧＳ","3382","東証","○","-","○","21,200","-","無","0.00","3,634.0","-14.0","-0.60 %","-","3,409","1,708,100","-1.70 %","貸借","0.00"
"薬王堂","3385","東証","○","-","-","400","02/25","有","0.00","2,339","-26","-1.09 %","-","232","33,700","-2.21 %","貸借","0.00"
"コスモ・バイオ","3386","東証","○","-","-","1,100","-","無","0.00","1,104","-46","-1.42 %","-","1,276","339,400","-8.98 %","貸借","0.05"
"クリエイト・レストランツ・ホール","3387","東証","○","-","-","1,700","08/27","有","0.00","1,352","-1","-0.07 %","-","545","158,900","-2.87 %","貸借","0.05"
"明治電機工業","3388","東証","○","-","-","200","-","無","0.00","1,414","3","0.35 %","-","60","10,200","-1.80 %","貸借","0.00"
"ＩＮＥＳＴ","3390","東証","○","-","-","0","-","無","0.70","70","-6","-6.66 %","-","373","1,501,000","-13.58 %","信用","0.00"
"ツルハホールディングス","3391","東証","○","-","○","400","11/12","有","0.00","9,780","50","-0.20 %","-","780","232,300","-0.71 %","貸借","0.00"
"デリカフーズＨＬＤＧＳ","3392","東証","○","-","-","100","09/25","有","1.10","1,463","7","0.82 %","-","14","2,500","-0.67 %","信用","0.00"
"スターティアホールディングス","3393","東証","○","-","-","200","-","無","0.00","517","-8","-0.19 %","-","58","13,800","-3.90 %","貸借","0.00"
"サンマルクホールディングス","3395","東証","○","-","○","7,700","03/26","有","0.00","2,313","13","0.56 %","-","184","32,100","-0.47 %","貸借","0.00"
"フェリシモ","3396","東証","○","-","-","100","08/27","有","0.30","1,012","5","0.00 %","-","9","1,500","-0.49 %","信用","0.00"
"トリドールホールディングス","3397","東証","○","-","-","2,200","09/25","有","0.00","1,981","9","-0.10 %","-","936","214,600","-1.39 %","貸借","0.05"
"丸千代山岡家","3399","東証","○","-","-","200","07/26","有","2.50","1,654","-40","-1.60 %","-","43","7,400","-3.55 %","信用","0.00"
"帝人","3401","東証","○","-","○","20,500","-","無","0.00","1,805","-4","-1.09 %","-","1,489","827,400","-1.09 %","貸借","0.00"
"東レ","3402","東証","○","-","○","133,600","-","無","0.00","825.7","-2.2","-0.27 %","-","8,449","4,720,600","-1.14 %","貸借","0.00"
"クラレ","3405","東証","-","○","-","0","12/25","有","0.00","1,287","-13","-1.07 %","-","1,978","1,650,300","-2.12 %","貸借","0.00"
"旭化成","3407","東証","○","-","○","30,400","-","無","0.00","1,156.5","-0.5","-0.30 %","-","3,916","2,448,000","-0.94 %","貸借","0.00"
"サカイオーベックス","3408","東証","○","-","-","300","-","無","0.00","1,752","19","-0.96 %","-","57","23,100","-0.96 %","貸借","0.00"
"北日本紡績","3409","東証","○","-","-","0","-","無","4.70","2,106","-12","-0.56 %","-","50","7,600","-2.45 %","信用","0.00"
"ＴＯＫＹＯＢＡＳＥ","3415","東証","○","-","-","1,500","-","無","0.00","795","-16","-1.85 %","-","328","114,600","-4.33 %","貸借","0.05"
"ピクスタ","3416","東証","○","-","-","0","-","無","2.20","1,517","-7","-1.62 %","-","8","900","-2.06 %","信用","0.00"
"大木ヘルスケアＨＬＤＧＳ","3417","東証","○","-","-","200","-","無","3.20","933","-74","-7.62 %","-","159","21,900","-16.32 %","信用","0.00"
"バルニバービ","3418","東証","○","-","-","4,600","07/26","有","3.90","1,008","-18","0.80 %","-","759","228,700","-12.27 %","信用","0.00"
"ケー・エフ・シー","3420","東証","○","-","-","100","-","無","4.80","1,679","-19","-0.94 %","-","30","3,100","-5.03 %","信用","0.00"
"稲葉製作所","3421","東証","○","-","-","900","07/26","有","0.90","1,440","18","1.05 %","-","69","17,700","-1.09 %","信用","0.00"
"エスイー","3423","東証","○","-","-","300","03/26","有","0.00","274","2","1.10 %","-","57","23,100","-2.49 %","貸借","0.00"
"アトムリビンテック","3426","東証","○","-","-","0","12/25","有","2.80","1,573","48","2.81 %","-","11","2,100","-0.44 %","信用","0.00"
"宮地エンジニアリングＧ","3431","東証","-","-","○","6,900","-","無","0.00","1,738","-12","-1.30 %","-","90","12,900","-2.35 %","貸借","0.00"
"トーカロ","3433","東証","○","-","○","11,200","-","無","0.00","765","-6","-0.39 %","-","584","163,500","-1.54 %","貸借","0.00"
"サンコーテクノ","3435","東証","○","-","-","2,900","03/26","有","2.90","1,021","4","0.39 %","-","5","600","-0.39 %","信用","0.00"
"ＳＵＭＣＯ","3436","東証","○","-","○","6,100","-","無","0.00","1,224","-16","-1.13 %","-","5,836","7,144,900","-2.00 %","貸借","0.05"
"特殊電極","3437","東証","○","-","-","400","-","無","0.60","5,180","50","0.19 %","-","2","200","0.00 %","信用","0.00"
"山王","3441","東証","○","-","-","1,500","-","無","2.90","711","-12","-0.28 %","-","67","14,600","-12.97 %","信用","0.00"
"川田テクノロジーズ","3443","東証","○","-","-","0","-","無","0.00","8,220","70","-0.24 %","-","62","8,700","-1.32 %","貸借","0.15"
"菊池製作所","3444","東証","○","-","-","300","-","無","0.00","827","11","1.34 %","-","99","21,100","-0.60 %","貸借","0.00"
"ＲＳＴＥＣＨＮＯＬＯＧＩＥＳ","3445","東証","○","-","-","2,200","12/25","有","5.60","2,695","-125","-4.02 %","-","611","123,100","-5.07 %","信用","0.00"
"ジェイテックコーポレーション","3446","東証","○","-","-","300","-","無","0.00","4,910","0","0.00 %","-","154","28,500","-1.60 %","貸借","0.15"
"信和","3447","東証","○","-","-","700","-","無","1.30","951","-2","-0.83 %","-","145","29,400","-1.34 %","信用","0.00"
"トーセイ・リート投資法人","3451","東証","○","-","-","32","-","無","254.00","117,600","1,100","0.77 %","-","299","1,609","-0.25 %","信用","0.00"
"ビーロット","3452","東証","○","-","-","1,300","12/25","有","4.00","2,311","-64","-2.07 %","-","424","73,700","-7.37 %","信用","0.00"
"ケネディクス商業リート","3453","東証","○","-","-","24","-","無","0.00","265,900","1,800","0.56 %","-","1,322","2,349","-0.22 %","貸借","0.00"
"ファーストブラザーズ","3454","東証","○","-","-","300","11/26","有","0.00","982","-7","-0.90 %","-","130","30,300","-2.28 %","貸借","0.00"
"ヘルスケア＆メディカル投資","3455","東証","○","-","-","23","07/26","有","0.00","127,600","1,100","0.47 %","-","546","2,277","-0.62 %","貸借","0.00"
"ハウスドゥ","3457","東証","○","-","-","2,200","06/25","有","9.30","1,548","-42","-3.12 %","-","640","213,000","-4.14 %","貸借","0.05"
"シーアールイー","3458","東証","○","-","-","200","07/26","有","1.50","1,027","14","0.78 %","-","38","7,700","-0.19 %","信用","0.00"
"サムティ・レジデンシャル","3459","東証","○","-","-","34","-","無","267.00","109,300","-700","-1.08 %","-","351","1,614","-1.53 %","信用","0.00"
"パルマ","3461","東証","○","-","-","200","-","無","1.10","652","7","-0.45 %","-","20","9,800","-0.45 %","信用","0.00"
"野村不動産マスターＦ","3462","東証","○","-","-","134","-","無","0.00","164,700","1,400","0.85 %","-","1,613","8,887","-0.36 %","貸借","0.00"
"いちごホテルリート投資","3463","東証","○","-","-","26","-","無","222.00","125,900","-200","-0.23 %","-","387","1,273","-1.64 %","信用","0.00"
"プロパティエージェント","3464","東証","○","-","-","300","09/25","有","1.40","1,003","7","0.40 %","-","79","14,300","-1.08 %","信用","0.00"
"ケイアイスター不動産","3465","東証","○","-","-","800","09/25","有","0.00","1,626","-31","-2.16 %","-","362","70,600","-3.90 %","貸借","0.00"
"ラサールロジポート投資","3466","東証","○","-","-","58","-","無","0.00","127,300","800","1.03 %","-","1,563","5,743","-0.46 %","貸借","0.00"
"アグレ都市デザイン","3467","東証","○","-","-","200","03/26","有","0.80","455","-1","-0.87 %","-","18","4,600","-1.93 %","信用","0.00"
"スターアジア不動産投","3468","東証","○","-","-","32","-","無","216.00","119,000","400","0.42 %","-","377","1,514","-0.08 %","信用","0.00"
"デュアルタップ","3469","東証","○","-","-","1,400","-","無","0.80","517","-8","-1.52 %","-","160","52,400","-12.22 %","信用","0.00"
"マリモ地方創生リート","3470","東証","○","-","-","0","-","無","285.00","122,600","200","0.08 %","-","239","1,445","-0.64 %","信用","0.00"
"三井不ロジパーク","3471","東証","○","-","-","15","-","無","627.00","365,000","3,500","-0.13 %","-","351","961","-1.35 %","信用","0.00"
"大江戸温泉リート","3472","東証","○","-","-","28","11/26","有","150.00","84,100","400","0.35 %","-","349","1,397","-1.05 %","信用","0.00"
"さくら総合リート","3473","東証","○","-","-","60","-","無","137.00","91,500","-600","-1.08 %","-","417","2,967","-1.08 %","信用","0.00"
"Ｇ－ＦＡＣＴＯＲＹ","3474","東証","○","-","-","0","06/25","有","1.70","467","-12","-6.60 %","-","379","86,000","-13.03 %","信用","0.00"
"グッドコムアセット","3475","東証","○","-","-","300","10/28","有","4.60","1,426","-5","-0.07 %","-","80","12,100","-1.58 %","信用","0.00"
"投資法人みらい","3476","東証","○","-","-","192","-","無","0.00","51,500","900","1.37 %","-","1,495","19,166","-0.19 %","貸借","0.00"
"フォーライフ","3477","東証","○","-","-","100","03/26","有","1.70","763","-6","-2.17 %","-","7","2,500","-2.30 %","信用","0.00"
"森トラスト・ホテルリート投","3478","東証","○","-","-","9","-","無","0.00","138,100","-800","-0.71 %","-","376","903","-2.12 %","貸借","0.00"
"ティーケーピー","3479","東証","○","-","-","900","-","無","8.90","5,400","-320","-3.39 %","-","604","114,700","-6.73 %","信用","0.00"
"ジェイ・エス・ビー","3480","東証","○","-","-","100","-","無","11.30","4,065","40","2.39 %","-","24","2,900","0.00 %","信用","0.00"
"三菱地所物流ＲＥＩＴ","3481","東証","○","-","-","13","-","無","0.00","279,000","3,500","0.79 %","-","597","1,220","-0.25 %","貸借","0.00"
"ロードスターキャピタル","3482","東証","○","-","-","1,100","-","無","0.00","752","-14","-2.46 %","-","404","108,100","-6.58 %","貸借","0.00"
"テンポイノベーション","3484","東証","○","-","-","300","03/26","有","3.30","1,522","-23","-1.48 %","-","66","11,100","-1.86 %","信用","0.00"
"グロバルリンクマネジメント","3486","東証","○","-","-","200","12/25","有","1.80","574","-7","-1.37 %","-","35","8,000","-2.71 %","信用","0.00"
"ＣＲＥロジスティクスファンド","3487","東証","○","-","-","0","-","無","0.00","120,000","300","0.25 %","-","286","1,367","-0.49 %","貸借","0.00"
"ザイマックス・リート","3488","東証","○","-","-","15","-","無","133.00","127,400","1,000","1.11 %","-","219","718","-0.46 %","信用","0.00"
"フェイスネットワーク","3489","東証","○","-","-","400","03/26","有","1.70","947","32","2.04 %","-","74","16,200","-0.10 %","信用","0.00"
"アズ企画設計","3490","東証","○","-","-","400","02/25","有","4.20","1,448","30","-1.16 %","-","38","5,700","-9.50 %","信用","0.00"
"ＧＡＴＥＣＨＮＯＬＯＧＩＥＳ","3491","東証","○","-","-","2,200","-","無","11.60","3,640","-75","-3.83 %","-","590","110,000","-5.20 %","信用","0.00"
"タカラレーベン不動産投","3492","東証","○","-","-","44","08/27","有","0.00","99,900","-600","-0.79 %","-","429","4,326","-1.38 %","貸借","0.00"
"伊藤忠アドバンスロジ","3493","東証","○","-","-","23","-","無","165.00","101,100","700","0.69 %","-","302","1,139","-1.07 %","信用","0.00"
"マリオン","3494","東証","○","-","-","0","-","無","2.50","1,661","17","2.53 %","-","11","1,300","-2.69 %","信用","0.00"
"香陵住販","3495","東証","○","-","-","0","-","無","2.30","1,207","1","0.08 %","-","7","1,200","-1.46 %","信用","0.00"
"アズーム","3496","東証","○","-","-","200","-","無","9.60","2,977","-128","-4.12 %","-","128","14,700","-8.40 %","信用","0.00"
"リーガル不動産","3497","東証","○","-","-","1,000","-","無","3.20","1,024","-24","-2.00 %","-","225","39,800","-11.95 %","信用","0.00"
"霞ヶ関キャピタル","3498","東証","○","-","-","100","-","無","10.50","4,170","-225","-4.24 %","-","29","3,600","-7.12 %","信用","0.00"
"住江織物","3501","東証","○","-","-","100","-","無","0.00","2,941","38","0.65 %","-","32","4,600","-1.44 %","貸借","0.05"
"日本フエルト","3512","東証","○","-","-","200","09/25","有","0.10","476","7","1.27 %","-","19","5,900","0.00 %","信用","0.00"
"イチカワ","3513","東証","○","-","-","200","-","無","1.70","1,509","-12","-0.78 %","-","24","4,100","-6.96 %","信用","0.00"
"フジコー","3515","東証","○","-","-","100","03/26","有","6.00","0","0","-","-","0","0","-","信用","0.00"
"エコナックホールディングス","3521","東証","○","-","-","700","03/26","有","0.00","123","-1","-0.80 %","-","37","66,000","-2.38 %","貸借","0.00"
"日東製網","3524","東証","○","-","-","200","-","無","1.90","1,522","-4","-0.26 %","-","27","3,600","-1.61 %","信用","0.00"
"芦森工業","3526","東証","○","-","-","100","-","無","0.00","1,588","-2","1.21 %","-","24","7,400","-2.57 %","貸借","0.00"
"プロスペクト","3528","東証","○","-","-","0","-","無","0.10","18","0","0.00 %","-","77","965,800","-10.00 %","信用","0.00"
"アツギ","3529","東証","○","-","-","200","09/25","有","0.00","906","8","-0.76 %","-","40","11,900","-0.76 %","貸借","0.00"
"アクサスホールディングス","3536","東証","○","-","-","0","-","無","0.70","124","3","2.47 %","-","69","69,400","-4.61 %","信用","0.00"
"昭栄薬品","3537","東証","○","-","-","0","-","無","3.70","926","1","-1.06 %","-","6","1,700","-1.06 %","信用","0.00"
"ウイルプラスＨＬＤＧＳ","3538","東証","-","○","-","0","06/25","有","0.00","812","-14","-2.05 %","-","201","170,900","-4.69 %","貸借","0.05"
"ジャパンミート","3539","東証","○","-","-","400","07/26","有","0.00","1,731","-6","-0.68 %","-","150","25,900","-1.87 %","貸借","0.00"
"歯愛メディカル","3540","東証","○","-","-","100","-","無","15.60","2,755","43","0.47 %","-","33","5,600","-1.18 %","信用","0.00"
"農業総合研究所","3541","東証","○","-","-","800","-","無","7.00","708","-3","-1.39 %","-","136","39,300","-4.45 %","信用","0.00"
"ベガコーポレーション","3542","東証","○","-","-","100","03/26","有","2.60","501","-3","-1.18 %","-","21","3,000","-1.37 %","信用","0.00"
"コメダホールディングス","3543","東証","○","-","○","14,800","08/27","有","0.00","2,025","15","0.74 %","-","648","135,400","-0.68 %","貸借","0.00"
"サツドラホールディングス","3544","東証","○","-","-","100","05/12","有","0.00","1,870","18","-0.31 %","-","31","5,200","-2.70 %","貸借","0.05"
"デファクトスタンダード","3545","東証","○","-","-","300","-","無","0.00","345","-3","-2.26 %","-","69","14,700","-2.26 %","貸借","0.00"
"アレンザホールディングス","3546","東証","○","-","-","100","02/25","有","0.00","851","-3","-0.58 %","-","50","11,600","-1.73 %","貸借","0.00"
"串カツ田中ＨＬＤＧＳ","3547","東証","○","-","-","4,600","11/26","有","19.70","1,978","-32","-1.24 %","-","1,200","341,100","-7.69 %","貸借","0.00"
"バロックジャパン","3548","東証","○","-","-","500","08/27","有","0.00","872","-12","-1.80 %","-","165","45,600","-1.80 %","貸借","0.00"
"クスリのアオキＨＬＤＧＳ","3549","東証","-","-","○","1,900","05/15","有","0.00","7,410","-10","-0.13 %","-","575","129,300","-1.85 %","貸借","0.15"
"スタジオアタオ","3550","東証","○","-","-","600","08/27","有","7.10","1,200","-1","-0.33 %","-","111","17,800","-1.47 %","信用","0.00"
"ダイニック","3551","東証","○","-","-","100","-","無","0.20","746","7","1.35 %","-","13","3,100","0.00 %","信用","0.00"
"共和レザー","3553","東証","-","-","○","8,300","-","無","0.00","775","-6","-1.89 %","-","30","9,700","-2.26 %","貸借","0.00"
"リネットジャパングループ","3556","東証","○","-","-","2,900","09/25","有","1.60","1,281","21","2.72 %","-","1,166","417,800","-2.80 %","信用","0.00"
"ユナイテッド＆コレクティブ","3557","東証","○","-","-","100","08/27","有","4.20","1,300","18","0.30 %","-","11","1,400","-0.30 %","信用","0.00"
"ロコンド","3558","東証","○","-","-","4,300","08/27","有","0.80","896","10","1.70 %","-","696","215,800","-7.24 %","信用","0.00"
"ピーバンドットコム","3559","東証","○","-","-","0","-","無","2.60","1,202","-9","-0.33 %","-","9","1,100","-1.63 %","信用","0.00"
"ほぼ日","3560","東証","○","-","-","1,600","08/27","有","20.00","5,950","-10","-0.16 %","-","5","600","-0.50 %","信用","0.00"
"力の源ＨＤ","3561","東証","○","-","-","300","09/25","有","5.50","711","-4","-1.11 %","-","90","23,100","-2.20 %","貸借","0.00"
"Ｎｏ．１","3562","東証","○","-","-","2,700","-","無","1.40","1,250","15","1.21 %","-","363","71,300","-7.88 %","信用","0.00"
"スシローグローバルＨＬＤＧＳ","3563","東証","○","-","-","2,800","09/25","有","0.00","6,380","-170","-3.33 %","-","1,352","465,400","-4.34 %","貸借","0.15"
"ＬＩＸＩＬビバ","3564","東証","○","-","-","1,100","03/26","有","0.00","1,151","-16","-1.28 %","-","393","109,000","-2.20 %","貸借","0.00"
"アセンテック","3565","東証","○","-","-","300","-","無","10.40","1,810","19","0.94 %","-","267","41,300","-3.56 %","信用","0.00"
"ユニフォームネクスト","3566","東証","○","-","-","100","-","無","4.70","1,835","65","3.67 %","-","24","3,300","-2.13 %","信用","0.00"
"セーレン","3569","東証","-","-","○","66,400","09/25","有","0.00","1,470","-22","-0.67 %","-","341","77,700","-1.67 %","貸借","0.00"
"ソトー","3571","東証","○","-","-","100","-","無","0.00","965","-5","-0.61 %","-","11","1,600","-1.32 %","貸借","0.05"
"東海染工","3577","東証","○","-","-","500","-","無","1.90","1,132","-38","-3.24 %","-","83","22,400","-5.03 %","信用","0.00"
"倉庫精練","3578","東証","○","-","-","0","-","無","2.60","838","-30","0.00 %","-","1","200","-3.67 %","信用","0.00"
"小松マテーレ","3580","東証","-","-","○","29,300","-","無","0.00","797","-1","-0.25 %","-","137","31,300","-3.62 %","貸借","0.05"
"オーベクス","3583","東証","○","-","-","100","-","無","2.70","900","-10","-1.63 %","-","5","1,500","-1.63 %","信用","0.00"
"ワコールホールディングス","3591","東証","○","-","○","2,400","09/25","有","0.00","2,835","-13","-0.10 %","-","737","150,800","-1.42 %","貸借","0.05"
"ホギメディカル","3593","東証","-","-","○","30,600","09/25","有","0.00","3,275","5","0.00 %","-","257","83,400","-1.94 %","貸借","0.00"
"山喜","3598","東証","○","-","-","200","09/25","有","1.00","213","2","0.47 %","-","18","7,000","0.00 %","信用","0.00"
"川本産業","3604","東証","○","-","-","100","-","無","0.90","404","0","-0.24 %","-","4","1,400","-1.22 %","信用","0.00"
"レナウン","3606","東証","○","-","-","2,000","08/27","有","0.00","102","0","0.00 %","-","47","118,300","-1.92 %","貸借","0.00"
"クラウディアＨＬＤＧＳ","3607","東証","○","-","-","700","08/27","有","0.40","527","9","1.15 %","-","88","32,400","0.00 %","信用","0.00"
"ＴＳＩホールディングス","3608","東証","○","-","○","800","08/27","有","0.00","640","-17","-1.53 %","-","747","218,100","-3.61 %","貸借","0.00"
"マツオカコーポレーション","3611","東証","○","-","-","200","-","無","0.00","2,666","-37","-1.33 %","-","115","16,000","-2.38 %","貸借","0.00"
"ワールド","3612","東証","○","-","-","1,500","09/25","有","0.00","2,092","52","1.01 %","-","862","150,600","-2.15 %","貸借","0.00"
"ネットイヤーグループ","3622","東証","○","-","-","900","-","無","2.50","770","-5","1.31 %","-","66","15,400","-2.65 %","信用","0.00"
"ビリングシステム","3623","東証","○","-","-","0","-","無","4.50","2,148","-37","-1.69 %","-","159","24,400","-5.66 %","信用","0.00"
"アクセルマーク","3624","東証","○","-","-","1,000","-","無","2.90","403","1","0.49 %","-","112","49,700","-4.04 %","信用","0.00"
"テックファームＨＤ","3625","東証","○","-","-","1,400","-","無","1.60","1,309","13","0.38 %","-","285","57,400","-3.25 %","信用","0.00"
"ＴＩＳ","3626","東証","○","-","○","2,000","-","無","0.00","5,490","30","-0.18 %","-","516","224,700","-1.61 %","貸借","0.10"
"ネオス","3627","東証","○","-","-","3,400","-","無","0.00","802","1","0.62 %","-","743","335,500","-7.60 %","貸借","0.00"
"データホライゾン","3628","東証","○","-","-","200","-","無","5.50","2,333","3","1.52 %","-","49","6,200","-2.79 %","信用","0.00"
"電算システム","3630","東証","○","-","-","0","12/25","有","0.00","3,420","35","0.88 %","-","192","46,500","-5.00 %","貸借","0.00"
"グリー","3632","東証","○","-","○","32,900","-","無","0.00","506","-3","0.19 %","-","1,037","1,168,100","-5.06 %","貸借","0.00"
"ＧＭＯペパボ","3633","東証","○","-","-","0","12/25","有","11.00","3,615","0","-1.89 %","-","198","34,500","-6.94 %","信用","0.00"
"ソケッツ","3634","東証","○","-","-","0","-","無","3.10","1,150","13","-3.36 %","-","59","15,600","-3.36 %","信用","0.00"
"コーエーテクモＨＤ","3635","東証","-","-","○","28,400","03/26","有","0.00","1,970","4","0.61 %","-","651","125,600","-0.90 %","貸借","0.00"
"三菱総合研究所","3636","東証","○","-","○","600","-","無","0.00","3,365","-35","-1.17 %","-","74","14,100","-1.89 %","貸借","0.00"
"ボルテージ","3639","東証","○","-","-","200","12/25","有","0.00","505","7","0.79 %","-","57","21,800","-1.36 %","貸借","0.00"
"電算","3640","東証","○","-","-","0","03/26","有","0.00","2,012","14","-1.27 %","-","11","4,700","-1.27 %","貸借","0.05"
"パピレス","3641","東証","○","-","-","300","03/26","有","4.90","1,900","-41","-1.29 %","-","41","6,300","-2.41 %","信用","0.00"
"メディカルネット","3645","東証","○","-","-","100","05/26","有","0.00","518","-5","-1.52 %","-","13","4,100","-2.81 %","貸借","0.00"
"駅探","3646","東証","○","-","-","2,500","-","無","1.80","673","-7","-1.17 %","-","186","55,500","-6.26 %","信用","0.00"
"ジー・スリーホールディング","3647","東証","○","-","-","1,400","-","無","1.90","293","1","-0.67 %","-","84","64,000","-1.01 %","信用","0.00"
"ファインデックス","3649","東証","○","-","-","800","-","無","1.60","855","3","0.47 %","-","139","33,400","-0.34 %","信用","0.00"
"ディジタルメディアプロ","3652","東証","○","-","-","900","-","無","8.40","4,540","-45","-2.04 %","-","108","18,600","-8.74 %","信用","0.00"
"モルフォ","3653","東証","○","-","-","3,100","-","無","10.80","2,937","156","1.94 %","-","5,960","1,341,900","-6.16 %","貸借","0.05"
"ブレインパッド","3655","東証","○","-","-","2,200","-","無","28.00","6,480","10","1.09 %","-","1,019","259,500","-5.40 %","貸借","0.00"
"ＫＬａｂ","3656","東証","○","-","-","16,800","09/25","有","0.00","904","17","1.68 %","-","2,150","1,680,900","-1.09 %","貸借","0.05"
"ポールトゥウィン・ピットクル","3657","東証","○","-","-","2,700","-","無","0.00","1,144","-9","-0.86 %","-","507","119,000","-4.66 %","貸借","0.00"
"イーブックイニシアティブ","3658","東証","○","-","-","900","09/25","有","2.60","2,254","31","2.40 %","-","294","43,900","-2.71 %","信用","0.00"
"ネクソン","3659","東証","-","-","○","454,400","-","無","0.00","1,564","-31","-1.32 %","-","2,596","1,234,500","-2.49 %","貸借","0.00"
"アイスタイル","3660","東証","○","-","-","2,600","06/25","有","6.40","714","0","-0.13 %","-","657","260,800","-2.59 %","貸借","0.05"
